Count,SL.,SP.,NSP.,NE.,SM.,FR.,OF.,RES.,IR.,PH.,RP.,GS.,FG.,OG.,sub_no,clusters,,,
116,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,SL.GS.NE.PH.,,,
43,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,SL.FG.NE.PH.,,,
3,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,SL.FG.SM.PH.,,,
35,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,SP.FG.SM.PH.,,,
28,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,SL.FG.SM.PH.,,,
88,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,SL.FG.NE.PH.,,,
55,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,SL.FG.NE.PH.,,,
52,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,SL.GS.NE.PH.,,,
17,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,SL.GS.NE.PH.,,,
40,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,SL.FG.NE.PH.,,,
85,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,SL.FG.SM.IR.,,,
60,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,SL.FG.NE.PH.,,,
18,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,SL.GS.NE.PH.,,,
51,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,SL.GS.NE.PH.,,,
85,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,SL.FG.NE.PH.,,,
30,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,SL.FG.SM.PH.,,,
36,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,SL.FG.SM.PH.,,,
30,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,SL.FG.NE.PH.,,,
64,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,SL.GS.NE.PH.,,,
2,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,SL.FG.NE.PH.,,,
34,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,SL.FG.NE.PH.,,,
11,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,SL.FG.NE.PH.,,,
62,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,SL.GS.NE.PH.,,,
7,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,SL.FG.NE.PH.,,,
15,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,SP.FG.NE.PH.,,,
4,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,SL.FG.NE.PH.,,,
118,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,SL.GS.NE.PH.,,,
24,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,SP.GS.NE.PH.,,,
102,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,SL.GS.NE.PH.,,,
51,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,SL.FG.NE.PH.,,,
287,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,SL.GS.NE.PH.,,,
25,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,SL.FG.NE.PH.,,,
30,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,SL.GS.NE.PH.,,,
49,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,SL.FG.NE.PH.,,,
9,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,SL.GS.NE.PH.,,,
36,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,SL.GS.NE.PH.,,,
39,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,SL.FG.NE.PH.,,,
9,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,SP.FG.NE.PH.,,,
9,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,SP.GS.NE.PH.,,,
102,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,SL.GS.NE.PH.,,,
108,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,SL.GS.NE.PH.,,,
9,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,SL.GS.SM.PH.,,,
78,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,SL.FG.SM.PH.,,,
58,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,SL.FG.SM.PH.,,,
197,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,SL.FG.NE.PH.,,,
23,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,SL.FG.NE.PH.,,,
58,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,SL.FG.NE.PH.,,,
74,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,SL.GS.NE.PH.,,,
15,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,SP.GS.NE.PH.,,,
89,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,SL.GS.NE.PH.,,,
40,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,SL.GS.NE.PH.,,,
116,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,SL.GS.NE.PH.,,,
40,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,SL.FG.NE.PH.,,,
45,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,SL.FG.NE.PH.,,,
6,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,SL.FG.NE.PH.,,,
32,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,SP.FG.NE.PH.,,,
222,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,SL.FG.NE.PH.,,,
19,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,SL.FG.NE.PH.,,,
47,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,SL.FG.SM.PH.,,,
1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,SL.FG.NE.PH.,,,
131,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,SL.FG.NE.PH.,,,
38,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,SL.GS.NE.PH.,,,
19,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,SP.GS.NE.PH.,,,
4,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,SL.GS.NE.PH.,,,
45,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,SL.GS.SM.PH.,,,
28,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,SL.GS.SM.PH.,,,
28,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,SL.FG.SM.PH.,,,
1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,2,SL.FG.SM.PH.,,,
3,1,0,0,1,0,0,0,0,0,1,0,0,1,0,2,SL.FG.NE.PH.,,,
88,1,0,0,1,0,0,0,0,0,1,0,1,0,0,2,SL.GS.NE.PH.,,,
24,0,1,0,1,0,0,0,0,0,1,0,1,0,0,2,SP.GS.NE.PH.,,,
7,0,1,0,1,0,0,0,0,0,1,0,0,1,0,2,SP.FG.NE.PH.,,,
14,1,0,0,1,0,0,0,0,0,1,0,0,1,0,2,SL.FG.NE.PH.,,,
82,1,0,0,1,0,0,0,0,0,1,0,1,0,0,2,SL.GS.NE.PH.,,,
7,1,0,0,0,1,0,0,0,0,1,0,1,0,0,2,SL.GS.SM.PH.,,,
21,1,0,0,0,1,0,0,0,0,1,0,0,1,0,2,SL.FG.SM.PH.,,,
5,1,0,0,1,0,0,0,0,0,1,0,0,1,0,2,SL.FG.NE.PH.,,,
69,1,0,0,1,0,0,0,0,0,1,0,1,0,0,2,SL.GS.NE.PH.,,,
10,1,0,0,1,0,0,0,0,0,1,0,0,1,0,2,SL.FG.NE.PH.,,,
2,0,1,0,1,0,0,0,0,0,1,0,0,1,0,2,SP.FG.NE.PH.,,,
32,0,1,0,1,0,0,0,0,0,1,0,1,0,0,2,SP.GS.NE.PH.,,,
24,1,0,0,1,0,0,0,0,0,1,0,1,0,0,2,SL.GS.NE.PH.,,,
20,0,1,0,0,0,1,0,0,0,1,0,1,0,0,2,SP.GS.FR.PH.,,,
